user_id,attribute,level,xp
1,Intellect,1,0
1,Creativity,1,0
1,Vitality,1,25
1,Discipline,1,0
1,Social,1,0
1,Wealth,1,0
7,Intellect,2,75
7,Creativity,1,0
7,Vitality,1,0
7,Discipline,1,0
7,Social,1,0
7,Wealth,1,0
5,Intellect,1,0
5,Creativity,1,0
5,Vitality,1,0
5,Discipline,1,0
5,Social,1,0
5,Wealth,1,0
6,Intellect,1,0
6,Creativity,1,0
6,Vitality,1,0
6,Discipline,1,0
6,Social,1,0
6,Wealth,1,0
8,Intellect,2,50
8,Creativity,2,25
8,Vitality,3,100
8,Discipline,1,0
8,Social,1,0
8,Wealth,1,0
9,Intellect,1,0
9,Creativity,1,0
9,Vitality,1,0
9,Discipline,1,0
9,Social,1,0
9,Wealth,1,0
9,Intellect,1,0
9,Creativity,1,0
9,Vitality,1,0
9,Discipline,1,0
9,Social,1,0
9,Wealth,1,0
10,Intellect,1,0
10,Creativity,1,0
10,Vitality,1,0
10,Discipline,1,0
10,Social,1,0
10,Wealth,1,0
5,Intellect,1,0
5,Creativity,1,0
5,Vitality,1,0
5,Discipline,1,0
5,Social,1,0
5,Wealth,1,0
5,Intellect,1,0
5,Creativity,1,0
5,Vitality,1,0
5,Discipline,1,0
5,Social,1,0
5,Wealth,1,0
5,Intellect,1,0
5,Creativity,1,0
5,Vitality,1,0
5,Discipline,1,0
5,Social,1,0
5,Wealth,1,0
